Casa;Fora;PlacarCasa;PlacarFora;PartidasCasa;PartidasFora;PartidasEmCasa;PartidasEmFora;TotalCasa;TotalProCasa;TotalContraCasa;TotalEmCasa;TotalProEmCasa;TotalContraEmCasa;TotalFora;TotalProFora;TotalContraFora;TotalEmFora;TotalProEmFora;TotalContraEmFora;Total15Casa;Total15EmCasa;Total25Casa;Total25EmCasa;Total15Fora;Total15EmFora;Total25Fora;Total25EmFora;
Sampaio Correa;Guarani;2;1;8;8;4;4;17;8;9;10;7;3;10;4;6;7;1;6;9;9;5;5;6;0;2;0
Vila Nova;Gremio;0;0;8;8;4;4;16;7;9;4;3;1;11;7;4;12;4;8;9;9;2;2;8;0;1;0
CRB;CSA;0;0;9;9;4;4;20;7;13;9;5;4;13;6;7;11;2;9;8;8;2;2;9;0;1;0
Vasco da Gama;Gremio;0;0;9;9;5;5;11;8;3;7;6;1;11;7;4;4;2;2;9;9;0;0;8;0;1;0
Guarani;Vila Nova;1;1;9;9;4;4;13;5;8;1;1;0;16;7;9;12;4;8;11;11;7;7;9;0;2;0
Sport Recife;Ponte Preta;2;1;9;9;4;4;9;6;3;5;4;1;10;4;6;4;2;2;3;3;0;0;5;0;3;0
Operario PR;Cruzeiro;1;2;9;9;4;5;19;10;9;10;7;3;13;10;3;9;3;6;7;7;5;5;8;0;0;0
Bahia;Criciuma;2;1;9;9;4;4;16;11;5;10;9;1;14;7;7;6;2;4;4;4;2;2;7;0;1;0
Novorizontino;Sampaio Correa;0;0;9;9;4;4;18;9;9;10;5;5;20;10;10;8;4;4;10;10;2;2;10;0;6;0
Brusque;Nautico;1;2;9;9;4;4;16;6;10;4;4;0;15;6;9;12;2;10;10;10;4;4;7;0;2;0
Tombense;Ituano;2;1;9;9;5;4;16;7;9;9;5;4;18;9;9;7;2;5;5;5;0;0;7;0;2;0
Guarani;Operario PR;0;3;10;10;5;5;15;6;9;3;2;1;22;11;11;12;4;8;12;12;7;7;8;0;6;0
Londrina;Tombense;1;1;9;10;5;4;21;9;12;14;9;5;19;9;10;7;0;7;6;6;4;4;6;0;1;0
Nautico;Vasco da Gama;2;3;10;10;5;4;18;8;10;8;4;4;11;8;3;10;4;6;12;12;6;6;9;0;0;0
Vila Nova;Brusque;0;2;10;10;5;5;18;8;10;4;3;1;19;7;12;14;5;9;13;13;2;2;11;0;5;0
Criciuma;Sampaio Correa;3;1;10;10;5;5;17;8;9;9;6;3;20;10;10;8;2;6;6;6;4;4;10;0;6;0
Ituano;Ponte Preta;1;2;10;10;5;5;21;10;11;7;5;2;13;5;8;14;5;9;7;7;2;2;5;0;2;0
CSA;Chapecoense;1;1;10;9;5;5;13;6;7;8;5;3;9;5;4;5;1;4;9;9;1;1;6;0;2;0
Gremio;Novorizontino;2;0;10;10;4;5;11;7;4;7;5;2;18;9;9;4;2;2;8;8;1;1;10;0;2;0
Cruzeiro;CRB;2;0;10;10;4;5;16;12;4;5;5;0;20;7;13;11;7;4;9;9;7;7;8;0;2;0
Bahia;Sport Recife;1;0;10;10;5;5;19;13;6;13;11;2;12;8;4;6;2;4;5;5;3;3;4;0;1;0
Sampaio Correa;Nautico;2;0;11;11;5;5;24;11;13;13;9;4;23;10;13;11;2;9;8;8;6;6;13;0;7;0
Chapecoense;Criciuma;2;3;10;11;4;5;11;6;5;5;1;4;21;11;10;6;5;1;11;11;2;2;7;0;5;0
Brusque;Ituano;0;1;11;11;5;5;21;9;12;7;5;2;24;11;13;14;4;10;15;15;5;5;8;0;3;0
CRB;Vila Nova;1;0;11;11;5;5;22;7;15;9;5;4;20;8;12;13;2;11;11;11;2;2;14;0;2;0
Ponte Preta;Londrina;1;2;11;10;5;4;16;7;9;4;3;1;23;10;13;12;4;8;9;9;4;4;7;0;4;0
Operario PR;Bahia;0;1;11;11;5;5;25;14;11;13;8;5;20;14;6;12;6;6;14;14;9;9;5;0;3;0
Novorizontino;Guarani;1;2;11;11;5;5;20;9;11;10;5;5;18;6;12;10;4;6;10;10;2;2;13;0;8;0
Vasco da Gama;Cruzeiro;1;0;11;11;6;6;16;11;5;7;6;1;18;14;4;9;5;4;14;14;8;8;10;0;7;0
Tombense;CSA;2;1;11;11;6;5;21;10;11;12;7;5;15;7;8;9;3;6;8;8;1;1;10;0;1;0
Sport Recife;Gremio;0;0;11;11;5;6;13;8;5;8;6;2;13;9;4;5;2;3;4;4;1;1;9;0;1;0
Bahia;Chapecoense;0;1;12;11;6;6;21;15;6;14;12;2;16;8;8;7;3;4;5;5;3;3;12;0;3;0
Cruzeiro;Ponte Preta;2;0;12;12;5;6;19;14;5;7;7;0;19;8;11;12;7;5;10;10;7;7;10;0;5;0
Vila Nova;Operario PR;0;0;12;12;6;6;21;8;13;6;3;3;26;14;12;15;5;10;14;14;2;2;14;0;9;0
Criciuma;Brusque;0;1;12;12;6;6;26;14;12;13;9;4;22;9;13;13;5;8;13;13;4;4;15;0;5;0
CRB;Ituano;1;1;12;12;6;6;23;8;15;10;6;4;25;12;13;13;2;11;11;11;2;2;8;0;3;0
Gremio;Sampaio Correa;2;0;12;12;5;6;13;9;4;9;7;2;26;13;13;4;2;2;9;9;1;1;9;0;6;0
Londrina;Vasco da Gama;0;1;11;12;6;5;26;12;14;16;10;6;17;12;5;10;2;8;11;11;6;6;14;0;8;0
Novorizontino;Tombense;1;3;12;12;6;5;23;10;13;13;6;7;24;12;12;10;4;6;11;11;3;3;9;0;2;0
Nautico;Sport Recife;1;1;12;12;6;6;25;10;15;13;6;7;13;8;5;12;4;8;10;10;7;7;4;0;1;0
Guarani;CSA;0;0;12;12;6;6;21;8;13;6;2;4;18;8;10;15;6;9;12;12;4;4;10;0;3;0
Chapecoense;CRB;1;2;12;13;5;6;17;9;8;10;3;7;25;9;16;7;6;1;12;12;3;3;12;0;2;0
CSA;Gremio;1;1;13;13;6;7;18;8;10;10;6;4;15;11;4;8;2;6;10;10;3;3;10;0;1;0
Ponte Preta;Sampaio Correa;0;0;13;13;6;7;21;8;13;7;4;3;28;13;15;14;4;10;12;12;5;5;11;0;6;0
Londrina;Guarani;3;1;12;13;7;6;27;12;15;17;10;7;21;8;13;10;2;8;11;11;6;6;12;0;4;0
Vasco da Gama;Operario PR;3;0;13;13;7;7;18;13;5;8;7;1;26;14;12;10;6;4;14;14;8;8;14;0;9;0
Criciuma;Vila Nova;1;0;13;13;7;6;27;14;13;14;9;5;21;8;13;13;5;8;13;13;4;4;14;0;2;0
Bahia;Novorizontino;0;1;13;13;7;6;22;15;7;15;12;3;27;11;16;7;3;4;5;5;3;3;12;0;4;0
Sport Recife;Brusque;0;0;13;13;6;7;15;9;6;8;6;2;23;10;13;7;3;4;12;12;1;1;15;0;5;0
Tombense;Nautico;1;1;13;13;7;6;28;15;13;15;9;6;27;11;16;13;6;7;13;13;5;5;11;0;7;0
Operario PR;Chapecoense;2;1;14;13;6;7;29;14;15;14;8;6;20;10;10;15;6;9;16;16;10;10;13;0;4;0
Sampaio Correa;CSA;2;0;14;14;6;7;28;13;15;15;11;4;20;9;11;13;2;11;11;11;6;6;11;0;3;0
Brusque;Bahia;0;2;14;14;6;6;23;10;13;8;5;3;23;15;8;15;5;10;15;15;5;5;5;0;3;0
Gremio;Londrina;1;0;14;13;6;5;17;12;5;11;9;2;31;15;16;6;3;3;12;12;1;1;12;0;7;0
Cruzeiro;Sport Recife;2;1;13;14;6;7;21;16;5;9;9;0;15;9;6;12;7;5;11;11;7;7;12;0;1;0
Guarani;Ituano;0;2;14;13;7;7;25;9;16;6;2;4;27;13;14;19;7;12;13;13;8;8;13;0;3;0
Vila Nova;Ponte Preta;1;1;14;14;7;7;22;8;14;6;3;3;21;8;13;16;5;11;14;14;2;2;12;0;5;0
Nautico;Criciuma;1;1;14;14;7;6;29;12;17;15;7;8;28;15;13;14;5;9;15;15;7;7;13;0;4;0
CRB;Tombense;0;0;14;14;7;6;28;11;17;12;7;5;30;16;14;16;4;12;14;14;5;5;14;0;5;0
Novorizontino;Vasco da Gama;2;0;14;14;7;6;28;12;16;17;7;10;21;16;5;11;5;6;12;12;4;4;15;0;9;0
Chapecoense;Sampaio Correa;3;1;14;15;6;8;23;11;12;13;4;9;30;15;15;10;7;3;18;18;12;12;12;0;6;0
Brusque;Operario PR;2;0;15;15;7;8;25;10;15;10;5;5;32;16;16;15;5;10;16;16;5;5;17;0;11;0
Cruzeiro;Vila Nova;2;0;14;15;7;7;24;18;6;12;11;1;24;9;15;12;7;5;12;12;8;8;15;0;2;0
Londrina;CSA;0;0;14;15;8;8;32;15;17;21;13;8;22;9;13;11;2;9;12;12;7;7;13;0;3;0
